Dufourea novaeangliae	ASM127255v1
Echeneis naucrates	fEcheNa1.1
Echinococcus granulosus	ASM52419v1
Echinops telfairi	ASM31398v2
Egretta garzetta	ASM68718v1
Electrophorus electricus	fEleEle1.pri
Elephantulus edwardii	EleEdw1.0
Empidonax traillii	ASM303162v1
Emydocephalus ijimae	emyIji_1.0
Enhydra lutris	ASM228890v2
Epinephelus lanceolatus	ASM528154v1
Eptesicus fuscus	EptFus1.0
Equus asinus	ASM130575v1
Equus caballus	EquCab3.0
Equus przewalskii	Burgud
Erinaceus europaeus	EriEur2.0
Erpetoichthys calabaricus	fErpCal1.1
Esox lucius	fEsoLuc1.pri
Etheostoma cragini	CSU_Ecrag_1.0
Etheostoma spectabile	UIUC_Espe_1.0
Eucidaris tribuloides	Etri_1.0
Eufriesea mexicana	ASM148370v1
Eumetopias jubatus	ASM402803v1
Eurypyga helias	ASM69077v1
Eurytemora affinis	Eaff_2.0
Exaiptasia pallida	Aiptasia_genome_1.1
Falco cherrug	F_cherrug_v1.0
Falco peregrinus	F_peregrinus_v1.0
Falco rusticolus	bFalRus1.pri
Felis catus	Felis_catus_9.0
Ficedula albicollis	FicAlb1.5
Folsomia candida	ASM221717v1
Fonticula alba	Font_alba_ATCC_38817_V2
Fopius arisanus	ASM80636v1
Formica exsecta	ASM365146v1
Frankliniella occidentalis	Focc_2.1
Fukomys damarensis	DMR_v1.0_HiC
Fulmarus glacialis	ASM69083v1
Fundulus heteroclitus	MU-UCD_Fhet_4.1
Gadus morhua	gadMor3.0
Galeopterus variegatus	G_variegatus-3.0.2
Galleria mellonella	ASM364042v2
Gallus gallus	GRCg6a
Gasterosteus aculeatus	GAculeatus_UGA_version5
Gavia stellata	ASM69087v1
Gavialis gangeticus	GavGan_comp1
Gekko japonicus	Gekko_japonicus_V1.1
Geospiza fortis	GeoFor_1.0
Geotrypetes seraphini	aGeoSer1.1
Globicephala melas	ASM654740v1
Glossina fuscipes	Yale_Gfus_2
Gopherus agassizii	ASM289641v1
Gopherus evgoodei	rGopEvg1_v1.p
Gorilla gorilla	Kamilah_GGO_v0
Gouania willdenowi	fGouWil2.1
Grammomys surdaster	NIH_TR_1.0
Gymnodraco acuticeps	fGymAcu1.1
Habropoda laboriosa	ASM126327v1
Haliaeetus albicilla	ASM69140v1
Haliaeetus leucocephalus	Haliaeetus_leucocephalus-4.0
Halichoerus grypus	Tufts_HGry_1.1
Halyomorpha halys	Hhal_2.0
Haplochromis burtoni	AstBur1.0
Harpegnathos saltator	Hsal_v8.5
Helicoverpa armigera	Harm_1.0
Helobdella robusta	Helobdella_robusta_v1.0
Hemicentrotus pulcherrimus	HpulGenome_v1
Hermetia illucens	iHerIll2.2.curated.20191125
Heterocephalus glaber	HetGla_female_1.0
Hippocampus comes	H_comes_QL1_v1
Hippoglossus hippoglossus	fHipHip1.pri
Hippoglossus stenolepis	IPHC_HiSten_1.0
Hipposideros armiger	ASM189008v1
Hirundo rustica	bHirRus1.pri.v2
Holothuria glaberrima	ASM993650v1
Homo sapiens	GRCh38.p13
Hyaena hyaena	ASM300989v1
Hyalella azteca	Hazt_2.0
Hydra vulgaris	Hydra_RP_1.0
Hydrophis curtis	Hcur1.v1.1
Hydrophis cyanocinctus	ASM402372v1
Hydrophis melanocephalus	hydMel_1.0
Hylobates moloch	HMol_V2
Hyposmocoma kahamanoa	ASM358959v1
Ictalurus punctatus	IpCoco_1.2
Ictidomys tridecemlineatus	HiC_Itri_2
Ixodes scapularis	Ixodes_scapularus_ComboLowHiFi
Jaculus jaculus	JacJac1.0
Kryptolebias marmoratus	ASM164957v2
Labrus bergylta	BallGen_V1
Lacerta agilis	rLacAgi1.pri
Lagenorhynchus obliquidens	ASM367639v1
Larimichthys crocea	L_crocea_2.0
Lates calcarifer	ASM164080v1
Laticauda colubrina	latCor_1.0
Laticauda laticaudata	latLat_1.0
Latimeria chalumnae	LatCha1
Lepidothrix coronata	Lepidothrix_coronata-1.0
Lepisosteus oculatus	LepOcu1
Leptinotarsa decemlineata	Ldec_2.0
Leptonychotes weddellii	LepWed1.0
Leptosomus discolor	ASM69178v1
Limnoperna fortunei	ASM313041v1
Limulus polyphemus	Limulus_polyphemus-2.1.2
Linepithema humile	Lhum_UMD_V04
Lingula anatina	LinAna2.0
Lipotes vexillifer	Lipotes_vexillifer_v1
Loa loa	Loa_loa_V3.1
Lonchura striata	lonStrDom2
Lontra canadensis	GSC_riverotter_1.0
Lottia gigantea	Helro1
Loxodonta africana	Loxafr3.0
Lucilia cuprina	Lcup_2.0
Lucilia sericata	ASM1558622v1
Lutraria rhynchaena	LuRhyn_1.0
Lynx canadensis	mLynCan4.pri.v2
Lytechinus pictus	UCSD_Lpic_2.0
Lytechinus variegatus	Lvar_3.0
Macaca fascicularis	Macaca_fascicularis_5.0
Macaca mulatta	Mmul_10
Macaca nemestrina	Mnem_1.0
Magallana hongkongensis	CUHK_oyster_2.0
Malaclemys terrapin terrapin	terp_v2_2
Manacus vitellinus	ASM171598v3
Mandrillus leucophaeus	Mleu.le_1.0
Manduca sexta	JHU_Msex_v1.0
Maniola hyperantus	iAphHyp1.1
Manis javanica	YNU_ManJav_2.0
Manis pentadactyla	YNU_ManPten_2.0
Margaritifera margaritifera	ASM1594796v1
Marmota flaviventris	GSC_YBM_2.0
Marmota marmota	marMar2.1
Mastacembelus armatus	fMasArm1.2
Mastomys coucha	UCSF_Mcou_1
Mauremys reevesii	ASM1616193v1
Maylandia zebra	M_zebra_UMD2a
Megachile rotundata	MROT_1.0
Megalonaias nervosa	ASM1661785v1
Megalops cyprinoides	fMegCyp1.pri
Megalopta genalis	USU_MGEN_1.2
Melanaphis sacchari	SCAv2.0
Meleagris gallopavo	Turkey_5.1
Melopsittacus undulatus	bMelUnd1.mat.Z
Mercenaria mercenaria	ASM1480567v1
Meriones unguiculatus	MunDraft-v1.0
Merops nubicus	ASM69184v1
Mesitornis unicolor	ASM69576v1
Mesocricetus auratus	MesAur1.0
Metaseiulus occidentalis	Mocc_1.0
Microcaecilia unicolor	aMicUni1.1
Microcebus murinus	Mmur_3.0
Microplitis demolitor	Mdem2
Micropterus salmoides	ASM1485139v1
Microtus ochrogaster	MicOch1.0
Miniopterus natalensis	Mnat.v1
Mirounga leonina	KU_Mleo_1.0
Mizuhopecten yessoensis	ASM211388v2
Modiolus philippinarum	Mph_v1.0
Molossus molossus	mMolMol1.p
Molothrus ater	BPBGC_Mater_1.0
Monodelphis domestica	MonDom5
Monodon monoceros	NGI_Narwhal_1
Monomorium pharaonis	ASM1337386v2
Monopterus albus	M_albus_1.0
Monosiga brevicollis	V1.0
Morone saxatilis	NCSU_SB_2.0
Motacilla alba	Motacilla_alba_V1.0_pri
Mus caroli	CAROLI_EIJ_v1.1
Mus musculus	GRCm39
Mus pahari	PAHARI_EIJ_v1.1
Musca domestica	Musca_domestica-2.0.2
Mustela erminea	mMusErm1.Pri
Mustela putorius	MusPutFur1.0
Myotis brandtii	ASM41265v1
Myotis davidii	ASM32734v1
Myotis lucifugus	Myoluc2.0
Myotis myotis	mMyoMyo1.p
Myripristis murdjan	fMyrMur1.1
Mytilus coruscus	Mcoruscus_HiC
Mytilus galloprovincialis	MGAL_10
Myzus persicae	MPER_G0061.0
Naja naja	Nana_v5
Nannospalax galili	S.galili_v1.0
Nanorana parkeri	ASM93562v1
Nasonia vitripennis	Nvit_psr_1.1
Necator americanus	N_americanus_v1
Nematolebias whitei	NemWhi1
Nematostella vectensis	ASM20922v1
Neodiprion lecontei	Nlec1.0
Neolamprologus brichardi	NeoBri1.0
Neomonachus schauinslandi	ASM220157v1
Neopelma chrysocephalum	ASM398488v2
Neophocaena asiaeorientalis	Neophocaena_asiaeorientalis_V1
Nestor notabilis	ASM69687v1
Nicrophorus vespilloides	Nicve_v1.0
Nilaparvata lugens	ASM1435652v1
Nipponia nippon	ASM70822v1
Nomascus leucogenys	Asia_NLE_v1
Nomia melanderi	USU_Nmel_1.2
Notechis scutatus	TS10Xv2-PRI
Nothobranchius furzeri	Nfu_20140520
Nothoprocta perdicaria	notPer1
Notolabrus celidotus	fNotCel1.pri
Notothenia coriiceps	NC01
Numida meleagris	NumMel1.0
Nylanderia fulva	TAMU_Nfulva_1.0
Ochotona princeps	OchPri4.0
Octodon degus	OctDeg1.0
Octopus bimaculoides	Octopus_bimaculoides_v2_0
Octopus vulgaris	ASM634580v1
Odobenus rosmarus	Oros_1.0
Odocoileus virginianus	Ovir.te_1.0
Odontomachus brunneus	Obru_v1
Oncorhynchus keta	Oket_V1
Oncorhynchus kisutch	Okis_V2
Oncorhynchus mykiss	USDA_OmykA_1.1
Oncorhynchus nerka	Oner_1.0
Oncorhynchus tshawytscha	Otsh_v1.0
Onthophagus taurus	Otau_2.0
Onychomys torridus	mOncTor1.1
Ooceraea biroi	Obir_v5.4
Ophiophagus hannah	OphHan1.0
Ophiothrix spiculata	Ospi.un_1.0
Ophisaurus gracilis	O.gracilis.final.assembly
Opisthocomus hoazin	ASM69207v1
Opisthorchis viverrini	OpiViv1.0
Orbicella faveolata	ofav_dov_v1
Orcinus orca	Oorc_1.1
Oreochromis aureus	ZZ_aureus
Oreochromis niloticus	O_niloticus_UMD_NMBU
Ornithorhynchus anatinus	mOrnAna1.pri.v4
Orussus abietinus	Oabi_2.0
Orycteropus afer	OryAfe1.0
Oryctolagus cuniculus	OryCun2.0
Oryx dammah	SCBI_Odam_1.1
Oryzias latipes	ASM223467v1
